date,visitors,page_views,bounce_rate,avg_session_min
2025-10-28,2391,6728,0.367,4.4
2025-11-01,2264,7950,0.543,2.1
2025-11-02,2471,6858,0.589,4.4
2025-11-03,2490,8295,0.558,3.1
2025-11-04,2498,8768,0.284,3.9
2025-11-05,2279,9138,0.394,5.8
2025-11-06,2348,7850,0.341,6.7
2025-11-07,2414,8030,0.414,4.5
2025-11-08,2513,8100,0.262,2.4
2025-11-09,2436,6138,0.572,7.6
2025-11-10,2644,11802,0.316,1.9
2025-11-11,2544,10222,0.514,5.7
2025-11-12,2407,9058,0.535,5.8
2025-11-13,2293,8116,0.368,4.1
2025-11-14,2300,7149,0.547,7.4
2025-11-15,2374,5972,0.362,4.9
2025-11-16,2698,9152,0.332,5.0
2025-11-17,2565,10456,0.511,6.0
2025-11-18,2655,8785,0.329,3.5
2025-11-19,2334,6007,0.384,6.2
2025-11-20,2347,10523,0.364,2.1
2025-11-21,2343,8443,0.459,6.4
2025-11-22,2519,10310,0.487,3.1
2025-11-23,2648,10719,0.541,7.9
2025-11-24,2689,8728,0.501,3.8
2025-11-25,2610,6774,0.51,2.3
2025-11-26,2430,8277,0.643,6.7
2025-11-27,2519,11280,0.476,7.3
2025-11-28,2361,8714,0.39,3.3
2025-11-28,2483,10104,0.536,5.9
2025-11-28,2656,7955,0.381,5.3
2025-12-01,2619,10857,0.395,2.1
2025-12-02,2603,6934,0.275,7.3
2025-12-03,2370,8182,0.428,3.9
2025-12-04,2336,8264,0.408,3.2
2025-12-05,2460,8604,0.419,4.4
2025-12-06,2686,11943,0.58,2.4
2025-12-07,2687,7400,0.534,2.3
2025-12-08,2717,7434,0.335,4.6
2025-12-09,2534,10118,0.628,3.9
2025-12-10,2668,8850,0.298,5.2
2025-12-11,2458,6343,0.311,3.9
2025-12-12,2595,9009,0.566,2.4
2025-12-13,2647,9738,0.269,7.3
2025-12-14,2819,11665,0.446,2.3
2025-12-15,2776,8875,0.598,4.2
2025-12-16,2646,11379,0.563,4.6
2025-12-17,2570,10125,0.492,6.5
2025-12-18,2453,8339,0.43,7.1
2025-12-19,2576,8115,0.57,5.8
2025-12-20,2654,8733,0.466,7.7
2025-12-21,2859,12236,0.544,5.7
2025-12-22,2948,10742,0.568,6.1
2025-12-23,2697,9768,0.3,5.1
2025-12-24,2707,9890,0.271,5.2
2025-12-25,2698,7766,0.44,7.3
2025-12-26,2767,7912,0.258,6.6
2025-12-27,2884,8624,0.532,7.3
2025-12-28,2744,10190,0.411,1.8
2025-12-28,2967,12532,0.259,4.3
2025-12-28,2707,8485,0.353,2.2
2025-12-01,2802,7561,0.317,2.4
2025-12-02,2646,8238,0.413,2.6
2025-12-03,2719,10139,0.38,1.7
2025-12-04,2883,9052,0.415,3.6
2025-12-05,2963,9632,0.581,2.3
